WDPAID;WDPA_PID;PA_DEF;NAME;ORIG_NAME;DESIG;DESIG_ENG;DESIG_TYPE;IUCN_CAT;INT_CRIT;MARINE;REP_M_AREA;GIS_M_AREA;REP_AREA;GIS_AREA;NO_TAKE;NO_TK_AREA;STATUS;STATUS_YR;GOV_TYPE;OWN_TYPE;MANG_AUTH;MANG_PLAN;VERIF;METADATAID;SUB_LOC;PARENT_ISO;ISO3;presntVG;ENS45;ENS85_1000;ENS85_420;pr45;pr85_420;pr85_1000;area_m;area_km;area_ha
555555848;555555848;1;Musichi;Musichi;Distritos Regionales De Manejo Integrado;Integrated Management Regional District;National;VI;Not Applicable;0;0;0;14,944;15,02592869;Not Applicable;0;Designated;2011;Sub-national ministry or agency;Not Reported;Corporación Autónoma Regional de la Guajira;http://runap.parquesnacionales.gov.co/;State Verified;1861;CO-LAG;COL;COL;8;11;11;11;8_11;8_11;8_11;14933635,67;14,934;1493
309;309;1;Cerro Santa Ana;Cerro Santa Ana;Natural Monument;Natural Monument;National;III;Not Applicable;0;0;0;19;34,2152388;Not Applicable;0;Designated;1972;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-I;VEN;VEN;8;11;11;11;8_11;8_11;8_11;34005143,84;34,005;3401
2246;2246;1;Medanos de Coro;Médanos de Coro;National Park;National Park;National;II;Not Applicable;1;492,91;535,973965;912,8;1114,960297;Not Reported;0;Designated;1974;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;VE-I;VEN;VEN;8;11;11;11;8_11;8_11;8_11;505504759,9;505,505;50550
30673;30673;1;Laguna de Boca de Caño;Laguna de Boca de Caño;Wildlife Refuge;Wildlife Refuge;National;IV;Not Applicable;0;0;0;4,53;90,78668338;Not Applicable;0;Designated;1989;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-I;VEN;VEN;8;11;11;11;8_11;8_11;8_11;90231057,54;90,231;9023
555592746;555592746;1;Bahia Portete Kaurrele;Bahia Portete Kaurrele;Parque Nacional Natural;Natural National Park;National;II;Not Applicable;1;0;141,6349833;140,8;141,6349831;Not Reported;0;Designated;2014;Federal or national ministry or agency;Not Reported;Parques Nacionales Naturales de Colombia;http://runap.parquesnacionales.gov.co/;State Verified;1861;CO-LAG Not Reported;COL;COL;8;13;6;6;8_13;8_6;8_6;99284651,8;99,285;9928
149;149;1;Macuira;Macuira;Parque Nacional Natural;Natural National Park;National;II;Not Applicable;0;0;0;250;268,8133259;Not Applicable;0;Designated;1977;Federal or national ministry or agency;Not Reported;Parques Nacionales Naturales de Colombia;http://runap.parquesnacionales.gov.co/;State Verified;1861;CO-LAG;COL;COL;8;13;6;6;8_13;8_6;8_6;14051346,64;14,051;1405
2246;2246;1;Medanos de Coro;Médanos de Coro;National Park;National Park;National;II;Not Applicable;1;492,91;535,973965;912,8;1114,960297;Not Reported;0;Designated;1974;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;VE-I;VEN;VEN;8;6;6;6;8_6;8_6;8_6;80528801,78;80,529;8053
2246;2246;1;Medanos de Coro;Médanos de Coro;National Park;National Park;National;II;Not Applicable;1;492,91;535,973965;912,8;1114,960297;Not Reported;0;Designated;1974;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;VE-I;VEN;VEN;8;13;6;6;8_13;8_6;8_6;321908678,2;321,909;32191
555592746;555592746;1;Bahia Portete Kaurrele;Bahia Portete Kaurrele;Parque Nacional Natural;Natural National Park;National;II;Not Applicable;1;0;141,6349833;140,8;141,6349831;Not Reported;0;Designated;2014;Federal or national ministry or agency;Not Reported;Parques Nacionales Naturales de Colombia;http://runap.parquesnacionales.gov.co/;State Verified;1861;CO-LAG Not Reported;COL;COL;8;6;6;8;8_6;8_8;8_6;41487544,49;41,488;4149
149;149;1;Macuira;Macuira;Parque Nacional Natural;Natural National Park;National;II;Not Applicable;0;0;0;250;268,8133259;Not Applicable;0;Designated;1977;Federal or national ministry or agency;Not Reported;Parques Nacionales Naturales de Colombia;http://runap.parquesnacionales.gov.co/;State Verified;1861;CO-LAG;COL;COL;9;6;6;8;9_6;9_8;9_6;162780110,2;162,78;16278
145556;145556;1;Ciénaga de Los Olivitos;Ciénaga de Los Olivitos;Ramsar Site, Wetland of International Importance;Ramsar Site, Wetland of International Importance;International;Not Reported;(i) (ii) (iii) (iv) (vii) (viii);1;0;15,412329;260;300,4251785;Not Reported;0;Designated;1996;Not Reported;Not Reported;Not Reported;Management plan is implented and available;State Verified;1856;VE-V;VEN;VEN;8;6;6;8;8_6;8_8;8_6;4207596,305;4,208;421
31274;31274;1;Cienaga Los Olivitos;Ciénaga Los Olivitos;Wildlife Refuge;Wildlife Refuge;National;IV;Not Applicable;1;65;15,411048;222,04;300,4241633;Not Reported;0;Designated;1986;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;VE-V;VEN;VEN;8;6;6;8;8_6;8_8;8_6;4207795,929;4,208;421
150;150;1;Isla De Salamanca;Isla De Salamanca;Via Parque;Park Way;National;III;Not Applicable;1;0;0;562;579,6404416;Not Reported;0;Designated;1985;Federal or national ministry or agency;Not Reported;Parques Nacionales Naturales de Colombia;http://runap.parquesnacionales.gov.co/;State Verified;1861;CO-MAG,Not Reported;COL;COL;6;11;11;11;6_11;6_11;6_11;423857751,9;423,858;42386
555624217;555624217;1;Cienaga Grande De Santa Marta;Cienaga Grande De Santa Marta;Specially Protected Area (Cartagena Convention);Specially Protected Area (Cartagena Convention);Regional;IV;Not Applicable;1;0;0,901621686;268,1;278,1167369;Not Reported;0;Designated;1977;Federal or national ministry or agency;Not Reported;Parques Nacionales Naturales de Colombia;http://www.spaw-palisting.org/area_public/show/id/29/template/C6;State Verified;1900;Marine;COL;COL;6;11;11;11;6_11;6_11;6_11;152664768,9;152,665;15266
125;125;1;Cienaga Grande De Santa Marta;Cienaga Grande De Santa Marta;Santuario de Fauna y Flora;Fauna and Flora Sanctuary;National;IV;Not Applicable;0;0;0;268,1;278,1167371;Not Applicable;0;Designated;1977;Federal or national ministry or agency;Not Reported;Parques Nacionales Naturales de Colombia;http://runap.parquesnacionales.gov.co/;State Verified;1861;CO-MAG;COL;COL;6;11;11;11;6_11;6_11;6_11;152664768,9;152,665;15266
2246;2246;1;Medanos de Coro;Médanos de Coro;National Park;National Park;National;II;Not Applicable;1;492,91;535,973965;912,8;1114,960297;Not Reported;0;Designated;1974;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;VE-I;VEN;VEN;8;13;13;13;8_13;8_13;8_13;5350411,068;5,35;535
2246;2246;1;Medanos de Coro;Médanos de Coro;National Park;National Park;National;II;Not Applicable;1;492,91;535,973965;912,8;1114,960297;Not Reported;0;Designated;1974;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;VE-I;VEN;VEN;8;13;6;6;8_13;8_6;8_6;86260124,89;86,26;8626
19284;19284;1;Sierra de San Luis;Sierra de San Luis;National Park;National Park;National;II;Not Applicable;0;0;0;200;204,2559032;Not Applicable;0;Designated;1987;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-I;VEN;VEN;8;13;13;13;8_13;8_13;8_13;47504538,63;47,505;4750
19284;19284;1;Sierra de San Luis;Sierra de San Luis;National Park;National Park;National;II;Not Applicable;0;0;0;200;204,2559032;Not Applicable;0;Designated;1987;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-I;VEN;VEN;8;13;6;6;8_13;8_6;8_6;155486071,3;155,486;15549
30635;30635;1;Serranía de San Luis;Serranía de San Luis;Protective Zone;Protective Zone;National;V;Not Applicable;0;0;0;860;866,8909122;Not Applicable;0;Designated;1987;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-I;VEN;VEN;8;13;13;13;8_13;8_13;8_13;150693202,4;150,693;15069
30635;30635;1;Serranía de San Luis;Serranía de San Luis;Protective Zone;Protective Zone;National;V;Not Applicable;0;0;0;860;866,8909122;Not Applicable;0;Designated;1987;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-I;VEN;VEN;8;13;1;13;8_13;8_13;8_1;140401,252;0,14;14
30635;30635;1;Serranía de San Luis;Serranía de San Luis;Protective Zone;Protective Zone;National;V;Not Applicable;0;0;0;860;866,8909122;Not Applicable;0;Designated;1987;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-I;VEN;VEN;8;13;6;6;8_13;8_6;8_6;227670166,7;227,67;22767
337;337;1;Cueva de la Quebrada del Toro;Cueva de la Quebrada del Toro;National Park;National Park;National;II;Not Applicable;0;0;0;85;72,09948437;Not Applicable;0;Designated;1969;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-I;VEN;VEN;8;13;6;6;8_13;8_6;8_6;71650429,92;71,65;7165
10788;10788;1;Río Tocuyo;Río Tocuyo;Forest Reserve;Forest Reserve;National;VI;Not Applicable;0;0;0;476,4;438,2963774;Not Applicable;0;Designated;1969;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;VE-U;VEN;VEN;8;13;13;13;8_13;8_13;8_13;102506461,2;102,506;10251
20074;20074;1;Sierra de Bobare;Sierra de Bobare;Protective Zone;Protective Zone;National;V;Not Applicable;0;0;0;1400;1124,2647;Not Applicable;0;Designated;1974;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-U;VEN;VEN;8;13;13;13;8_13;8_13;8_13;32851820,76;32,852;3285
340;340;1;Cuare;Cuare;Wildlife Refuge;Wildlife Refuge;National;IV;Not Applicable;1;18,92;19,434007;118,53;97,34589455;Not Reported;0;Designated;1972;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;VE-I;VEN;VEN;8;11;11;11;8_11;8_11;8_11;60524503,79;60,525;6052
68319;68319;1;Cuare;Cuare;Ramsar Site, Wetland of International Importance;Ramsar Site, Wetland of International Importance;International;Not Reported;(i) (ii) (iii) (iv) (v) (vi) (vii) (viii);1;0;19,424486;99,68;59,30783941;Not Reported;0;Designated;1988;Not Reported;Not Reported;Not Reported;Management plan is implented and available;State Verified;1856;Not Reported;VEN;VEN;8;11;11;11;8_11;8_11;8_11;50676891,25;50,677;5068
2247;2247;1;Morrocoy;Morrocoy;National Park;National Park;National;II;Not Applicable;1;192,54;231,570914;320,9;257,6776216;Not Reported;0;Designated;1974;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;Not Reported;VEN;VEN;8;11;11;11;8_11;8_11;8_11;747426,639;0,747;75
10788;10788;1;Río Tocuyo;Río Tocuyo;Forest Reserve;Forest Reserve;National;VI;Not Applicable;0;0;0;476,4;438,2963774;Not Applicable;0;Designated;1969;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;VE-U;VEN;VEN;8;11;11;11;8_11;8_11;8_11;181842535,1;181,843;18184
20074;20074;1;Sierra de Bobare;Sierra de Bobare;Protective Zone;Protective Zone;National;V;Not Applicable;0;0;0;1400;1124,2647;Not Applicable;0;Designated;1974;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-U;VEN;VEN;8;11;11;11;8_11;8_11;8_11;146347308,9;146,347;14635
308;308;1;Laguna de las Marites;Laguna de las Marites;Natural Monument;Natural Monument;National;III;Not Applicable;1;18,37;17,84566;36,74;20,05521157;Not Reported;0;Designated;1974;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;Not Reported;VEN;VEN;6;11;11;11;6_11;6_11;6_11;19930473,29;19,93;1993
311;311;1;Tetas de Maria Guevara;Tetas de María Guevara;Natural Monument;Natural Monument;National;III;Not Applicable;1;3,34;20,120321;180;27,77050479;Not Reported;0;Designated;1974;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;Not Reported;VEN;VEN;6;11;11;11;6_11;6_11;6_11;27597865,77;27,598;2760
336;336;1;Laguna de la Restinga;Laguna de la Restinga;National Park;National Park;National;II;Not Applicable;1;63,64;7,741021;171,8;31,00549591;Not Reported;0;Designated;1974;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;VE-O;VEN;VEN;6;11;11;11;6_11;6_11;6_11;30812909,49;30,813;3081
338;338;1;Cerro El Copey;Cerro El Copey;National Park;National Park;National;II;Not Applicable;0;0;0;71,3;32,85210737;Not Applicable;0;Designated;1974;Not Reported;State;Not Reported;Not Reported;State Verified;285;VE-O;VEN;VEN;6;11;11;11;6_11;6_11;6_11;32648083,66;32,648;3265
310;310;1;Cerros Matasiete y Guayamurí;Cerros Matasiete y Guayamurí;Natural Monument;Natural Monument;National;Not Reported;Not Applicable;0;1,93;0,236093;16,72;12,82902286;Not Applicable;0;Designated;1974;Not Reported;Not Reported;Not Reported;Not Reported;State Verified;285;VE-O;VEN;VEN;6;11;11;11;6_11;6_11;6_11;12749400,7;12,749;1275
